iter	Passed	Remaining
0	3	371
1	6	341
2	9	315
3	11	276
4	13	259
5	16	257
6	18	249
7	21	246
8	23	233
9	24	223
10	27	220
11	29	215
12	31	210
13	33	205
14	35	202
15	37	197
16	39	191
17	41	187
18	42	182
19	44	179
20	47	179
21	49	174
22	50	169
23	52	164
24	53	161
25	56	159
26	58	159
27	61	156
28	62	153
29	64	151
30	67	149
31	69	146
32	71	144
33	74	144
34	76	141
35	78	139
36	80	136
37	81	132
38	82	128
39	83	125
40	85	122
41	86	119
42	87	116
43	90	114
44	92	113
45	94	111
46	95	108
47	97	105
48	100	104
49	101	101
50	103	99
51	106	97
52	107	95
53	108	92
54	109	89
55	110	86
56	113	85
57	115	83
58	117	81
59	120	80
60	122	78
61	123	75
62	125	73
63	127	71
64	128	69
65	129	66
66	131	64
67	133	62
68	135	60
69	137	58
70	138	56
71	139	54
72	141	52
73	142	50
74	144	48
75	146	46
76	147	44
77	149	42
78	151	40
79	153	38
80	154	36
81	156	34
82	158	32
83	159	30
84	160	28
85	163	26
86	164	24
87	165	22
88	167	20
89	169	18
90	171	16
91	172	15
92	174	13
93	175	11
94	178	9
95	180	7
96	182	5
97	184	3
98	186	1
99	187	0
